name,sku,price,stock
Conector Galvanizado 5HP,SKU-VOL-000001,220.3855,49856.518349
Empaque Profesional 15A,SKU-VOL-000002,537.9376,10016.261488
Correa Profesional 100m,SKU-VOL-000003,630.8526,47945.418557
Valvula Reforzado 110V,SKU-VOL-000004,630.9801,43402.037441
Correa Industrial 10AWG,SKU-VOL-000005,517.4297,41978.60858
Valvula Profesional 15A,SKU-VOL-000006,577.7445,36506.104812
Valvula Industrial 110V,SKU-VOL-000007,127.8697,19546.225187
Tuerca Economico 12AWG,SKU-VOL-000008,731.9089,12514.639512
Cable Inoxidable 2HP,SKU-VOL-000009,590.5312,43717.932396
Interruptor Reforzado M10,SKU-VOL-000010,827.0417,36815.826053
Rodamiento Economico 15A,SKU-VOL-000011,743.3998,17695.827022
Motor Premium M8,SKU-VOL-000012,380.6529,35030.199697
Rodamiento Galvanizado 1/2in,SKU-VOL-000013,807.5456,46684.087485
Correa Economico 20A,SKU-VOL-000014,240.319,43764.365974
Manguera Galvanizado 15A,SKU-VOL-000015,380.9376,33587.831391
Bisagra Estandar 15A,SKU-VOL-000016,642.9455,30897.885715
Arandela Estandar M6,SKU-VOL-000017,841.1643,12321.496295
Valvula Premium 15A,SKU-VOL-000018,773.307,34893.362776
Bisagra Universal M6,SKU-VOL-000019,32.0055,39039.802383
Correa Compacto 15A,SKU-VOL-000020,656.7832,18176.574944
Valvula Estandar 50m,SKU-VOL-000021,951.6296,21070.894469
Bisagra Reforzado 12AWG,SKU-VOL-000022,72.3149,25530.92161
Manguera Compacto 220V,SKU-VOL-000023,762.3131,27780.444328
Arandela Galvanizado 10AWG,SKU-VOL-000024,561.3621,32718.807171
Manguera Industrial M6,SKU-VOL-000025,542.1496,3733.939726
Rodamiento Galvanizado 20A,SKU-VOL-000026,599.9224,8352.039805
Broca Profesional M10,SKU-VOL-000027,279.7775,16200.40248
Conector Estandar M6,SKU-VOL-000028,420.1678,21515.589357
Arandela Inoxidable 20A,SKU-VOL-000029,263.1992,19793.926864
Manguera Estandar 3/4in,SKU-VOL-000030,475.9522,32255.586275
Bisagra Industrial 3/4in,SKU-VOL-000031,3.0614,2938.293294
Cable Estandar 10AWG,SKU-VOL-000032,877.0255,46269.305468
Interruptor Estandar 15A,SKU-VOL-000033,904.4411,7059.187585
Conector Estandar M10,SKU-VOL-000034,438.6291,38487.544674
Relay Galvanizado 50m,SKU-VOL-000035,131.4806,26705.945505
Correa Estandar 20A,SKU-VOL-000036,146.667,37621.372117
Cable Premium 3/4in,SKU-VOL-000037,954.4558,17411.35815
Valvula Premium M10,SKU-VOL-000038,221.0704,6208.33135
Sensor Industrial M10,SKU-VOL-000039,494.7071,10802.676976
Conector Economico 15A,SKU-VOL-000040,122.1567,31060.422739
Empaque Reforzado 15A,SKU-VOL-000041,705.9711,45380.067474
Cable Reforzado M10,SKU-VOL-000042,468.4766,25926.554448
Candado Profesional 1/2in,SKU-VOL-000043,125.3505,38718.35493
Soporte Industrial 100m,SKU-VOL-000044,556.5622,42917.357452
Correa Reforzado 50m,SKU-VOL-000045,314.5866,16235.348893
Relay Compacto 220V,SKU-VOL-000046,914.6431,38832.404622
Bomba Compacto 5HP,SKU-VOL-000047,525.0797,38065.424905
Empaque Compacto 5HP,SKU-VOL-000048,47.762,8111.092638
Cable Industrial 2HP,SKU-VOL-000049,702.0578,12862.707657
Candado Inoxidable M6,SKU-VOL-000050,720.1144,15050.362244
Relay Industrial 3/4in,SKU-VOL-000051,263.6679,3601.055571
Bisagra Reforzado 110V,SKU-VOL-000052,381.5888,8765.437831
Relay Galvanizado 1/2in,SKU-VOL-000053,691.6052,45090.469576
Broca Economico 2HP,SKU-VOL-000054,363.8033,38727.715443
Rodamiento Compacto 15A,SKU-VOL-000055,394.5026,34771.082939
Rodamiento Profesional 3/4in,SKU-VOL-000056,57.5897,23280.339257
Empaque Compacto 20A,SKU-VOL-000057,613.9369,3106.019508
Filtro Reforzado 10AWG,SKU-VOL-000058,453.1306,47857.582126
Bisagra Universal 1/2in,SKU-VOL-000059,871.6286,21691.220497
Correa Universal 50m,SKU-VOL-000060,800.1502,43371.38978
Soporte Industrial 2HP,SKU-VOL-000061,945.3346,41079.155887
Valvula Premium 100m,SKU-VOL-000062,567.9416,28904.141057
Valvula Economico 220V,SKU-VOL-000063,915.4476,10104.077896
Manguera Universal 5HP,SKU-VOL-000064,629.5469,16149.207748
Interruptor Profesional 3/4in,SKU-VOL-000065,406.6088,47671.143011
Filtro Reforzado 50m,SKU-VOL-000066,960.112,9045.629533
Motor Profesional 220V,SKU-VOL-000067,190.0294,27992.444568
Soporte Inoxidable 15A,SKU-VOL-000068,792.1754,38868.013322
Broca Premium 15A,SKU-VOL-000069,874.6259,33236.104591
Soporte Estandar 3/4in,SKU-VOL-000070,669.7491,5665.017853
Bomba Reforzado 10AWG,SKU-VOL-000071,477.4891,32797.700997
Manguera Inoxidable 3/4in,SKU-VOL-000072,991.8652,11454.144917
Tuerca Premium 50m,SKU-VOL-000073,387.2099,44235.428443
Conector Compacto 3/4in,SKU-VOL-000074,356.1586,13368.134184
Filtro Industrial 15A,SKU-VOL-000075,851.964,47211.928455
Soporte Inoxidable 10AWG,SKU-VOL-000076,741.5515,2059.922601
Cable Universal 3/4in,SKU-VOL-000077,846.9249,28207.52155
Correa Reforzado 50m,SKU-VOL-000078,533.7313,11937.682709
Cable Compacto 15A,SKU-VOL-000079,563.3215,34557.648508
Arandela Estandar 12AWG,SKU-VOL-000080,989.802,45053.625267
Rodamiento Industrial 50m,SKU-VOL-000081,402.6538,25753.634831
Correa Estandar 220V,SKU-VOL-000082,533.1947,35949.336847
Correa Estandar 110V,SKU-VOL-000083,950.7079,1622.284973
Interruptor Economico M8,SKU-VOL-000084,822.6237,17587.738283
Filtro Compacto 20A,SKU-VOL-000085,117.6437,5208.463597
Cable Premium 3/4in,SKU-VOL-000086,161.5022,40012.343782
Bomba Estandar 12AWG,SKU-VOL-000087,840.38,28452.398571
Arandela Economico 100m,SKU-VOL-000088,332.3673,2036.826686
Interruptor Galvanizado 12AWG,SKU-VOL-000089,814.4636,35107.077698
Conector Economico 15A,SKU-VOL-000090,530.9083,24431.887537
Interruptor Premium 110V,SKU-VOL-000091,638.399,15671.129765
Tornillo Estandar 15A,SKU-VOL-000092,298.5887,18028.51342
Interruptor Industrial 10AWG,SKU-VOL-000093,732.7481,5687.144634
Cable Economico 2HP,SKU-VOL-000094,382.229,46541.01054
Valvula Industrial 20A,SKU-VOL-000095,781.9279,6601.806547
Soporte Economico 50m,SKU-VOL-000096,415.2043,16050.492374
Interruptor Compacto 20A,SKU-VOL-000097,672.353,29804.64051
Broca Inoxidable 20A,SKU-VOL-000098,527.2709,27304.766922
Conector Industrial 110V,SKU-VOL-000099,971.1576,39956.013015
Cable Estandar 2HP,SKU-VOL-000100,700.8344,26871.030162
Bisagra Premium 220V,SKU-VOL-000101,600.0189,10572.948335
Cable Compacto 15A,SKU-VOL-000102,506.4949,20089.943018
Tornillo Estandar 12AWG,SKU-VOL-000103,976.8998,5675.282891
Bisagra Premium 5HP,SKU-VOL-000104,137.2514,37260.105571
Broca Premium M10,SKU-VOL-000105,835.6797,7880.533956
Cable Compacto 20A,SKU-VOL-000106,982.6067,47112.139709
Filtro Premium 1/2in,SKU-VOL-000107,877.3211,25858.787646
Tornillo Economico M10,SKU-VOL-000108,461.1055,21995.345932
Candado Economico 1/2in,SKU-VOL-000109,125.8738,25759.14684
Broca Galvanizado 5HP,SKU-VOL-000110,857.7654,48970.026383
Soporte Galvanizado 110V,SKU-VOL-000111,955.3775,7771.795782
Filtro Industrial 5HP,SKU-VOL-000112,442.5658,950.621581
Relay Galvanizado 15A,SKU-VOL-000113,564.1944,41394.080776
Conector Reforzado 110V,SKU-VOL-000114,460.2412,3940.134521
Candado Reforzado 1/2in,SKU-VOL-000115,696.7844,42551.699952
Sensor Economico M6,SKU-VOL-000116,321.012,38074.50856
Correa Universal 100m,SKU-VOL-000117,4.1856,1524.729771
Soporte Galvanizado 3/4in,SKU-VOL-000118,722.0406,46549.319148
Empaque Estandar 2HP,SKU-VOL-000119,442.1121,36934.864259
Interruptor Reforzado 2HP,SKU-VOL-000120,297.8201,37631.236919
Valvula Reforzado M10,SKU-VOL-000121,779.0416,5213.891834
Conector Compacto 100m,SKU-VOL-000122,105.1945,37486.658612
Bomba Industrial 3/4in,SKU-VOL-000123,680.8371,24315.193004
Candado Inoxidable 15A,SKU-VOL-000124,533.7303,46318.362069
Tuerca Universal 15A,SKU-VOL-000125,529.1858,4458.691834
Filtro Compacto 20A,SKU-VOL-000126,957.8258,32051.393731
Valvula Premium 20A,SKU-VOL-000127,568.1399,24632.884061
Sensor Galvanizado M10,SKU-VOL-000128,899.012,12276.043725
Sensor Inoxidable M10,SKU-VOL-000129,972.0572,15387.652682
Empaque Economico M6,SKU-VOL-000130,955.2946,43866.984241
Rodamiento Estandar M10,SKU-VOL-000131,371.3792,33605.674647
Sensor Premium 5HP,SKU-VOL-000132,689.9569,26647.946693
